model,loc,total,sliced,rank,time
addr,21,74,10, ,0.281
arr3,24,48,9, ,0.08
arr6,25,56,30, ,0.115
balancedBST2,56,134,56, ,0.182
balancedBST2_1,56,134,95, ,0.119
balancedBST3_2,55,141,68, ,0.098
cd1,27,44,33, ,0.009
cd1_1,27,44,31, ,0.009
cd2,27,35,25, ,0.007
cd3,26,43,32, ,0.007
cd3_1,26,46,31, ,0.006
dll1,37,77,63, ,0.025
dll2,42,77,63, ,0.024
dll3,37,80,59, ,0.016
dll3_1,37,75,49, ,0.02
dll4,37,81,67, ,0.025
dll5_1,39,102,80, ,0.041
dll6,36,113,94, ,0.031
dll7_1,36,73,59, ,0.022
dll8,36,96,76, ,0.032
dll9,38,100,91, ,0.021
dll11,36,87,68, ,0.035
dll12,36,77,63, ,0.023
dll13,36,60,51, ,0.016
dll14_1,37,85,71, ,0.03
dll15,40,126,107, ,0.03
dll16,36,82,68, ,0.022
dll17_1,36,77,63, ,0.021
dll18,36,102,84, ,0.013
dll18_1,36,101,67, ,0.048
dll20,36,90,64, ,0.018
farmer,99,124,30, ,0.096
fsm1_1,30,90,19, ,0.019
fsm7_1,29,59,14, ,0.01
grade,33,22,7, ,0.016
ssl1,40,168,126, ,0.029
ssl2,40,150,122, ,0.025
ssl3,45,188,135, ,0.018
ssl3_1,44,184,121, ,0.097
ssl4,40,146,118, ,0.02
ssl5,42,188,160, ,0.019
ssl6_2,41,152,119, ,0.015
ssl6_3,42,152,107, ,0.029
ssl7,41,136,95, ,0.018
ssl7_1,40,135,110, ,0.048
ssl8,43,166,119, ,0.048
ssl10,43,155,110, ,0.032
ssl12,40,157,114, ,0.04
ssl14_2,43,153,120, ,0.013
ssl14_3,44,153,108, ,0.028
ssl17,41,151,119, ,0.02
ssl17_1,42,151,106, ,0.032
ssl18_1,40,160,118, ,0.035
ssl18_2,49,160,85, ,0.126
ssl19,40,169,141, ,0.021
arr7_1,24,46,9, ,0.169
arr9,27,83,43, ,0.043
balancedBST2_3,52,133,68, ,0.046
balancedBST12,47,146,94, ,0.033
balancedBST18,51,187,115, ,0.051
balancedBST19,47,158,112, ,0.032
balancedBST19_1,52,175,112, ,0.017
dll2_1,42,82,57, ,0.01
dll17_2,36,82,57, ,0.01
dll18_3,36,103,78, ,0.01
dll19,36,83,63, ,0.037
dll20_1,36,88,68, ,0.04
dll20_2,36,88,47, ,0.015
fsm6,29,98,17, ,0.014
fsm9_2,29,90,18, ,0.016
ssl11,42,177,127, ,0.036
balancedBST8,59,134,57, ,0.087
balancedBST8_1,59,134,57, ,0.082
balancedBST22_1,49,199,124, ,0.045
dll1_1,38,86,57, ,0.012
dll18_2,36,107,71, ,0.214
fsm4,31,141,39, ,0.009
fsm5_2,29,69,17, ,0.01
ssl2_1,44,156,72, ,0.055
ssl13,43,174,123, ,0.024
ssl18,40,162,131, ,0.014
arr8,25,80,15, ,0.11
balancedBST2_2,47,147,92, ,0.028
balancedBST3,57,137,97, ,0.049
fsm2,29,70,14, ,0.016
fsm8,29,71,14, ,0.013
arr11,24,83,41, ,0.017
balancedBST10_3,55,162,75, ,0.064
fsm9_1,29,91,18, ,0.013
ssl15,41,161,106, ,0.026
balancedBST3_1,57,137,58, ,0.07
balancedBST20_1,55,152,61, ,0.058
fsm7,29,64,14, ,0.015
ssl19_1,50,175,106, ,0.117
balancedBST6,51,140,61, ,0.051
balancedBST12_1,56,164,68, ,0.059
balancedBST19_2,55,154,86, ,0.037
ssl19_2,44,174,81, ,0.057
balancedBST17_2,55,177,79, ,0.05
balancedBST22_2,54,209,118, ,0.041
balancedBST4_2,51,154,61, ,0.057
balancedBST16,64,181,79, ,0.065
balancedBST17,48,186,113, ,0.058
ssl12_1,44,161,78, ,0.061
ssl9,44,153,72, ,0.042
balancedBST22_3,57,199,74, ,0.135
balancedBST4,46,145,95, ,0.031
balancedBST11,54,196,135, ,0.044
bempl,51,14,7, ,0.005
ctree,30,49,5, ,0.006
dll3_2,36,75,67, ,0.007
other,34,26,19, ,0.004
ssl16,39,137,119, ,0.008
ssl16_1,39,133,115, ,0.014
ssl16_2,47,136,74, ,0.088
ssl16_3,43,133,71, ,0.035
